epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,10108.9,0.92607,0.38161,0.90669,0.99493,0.99172,0.99472,0.78246,0.93642,0.32442,0.89215,0.0033175,0.0033175,0.0033175
137,10181.8,0.92586,0.38005,0.90583,0.9951,0.99175,0.99472,0.78276,0.93626,0.32447,0.89212,0.003268,0.003268,0.003268
138,10253.7,0.92481,0.3797,0.9047,0.9951,0.99174,0.99472,0.78309,0.93601,0.32424,0.89209,0.0032185,0.0032185,0.0032185
139,10326.3,0.92282,0.37927,0.90646,0.99528,0.99193,0.99472,0.78294,0.93553,0.32408,0.89195,0.003169,0.003169,0.003169
140,10398.6,0.92542,0.37733,0.91034,0.99528,0.99189,0.99473,0.78317,0.93536,0.3241,0.89189,0.0031195,0.0031195,0.0031195
141,10469.5,0.92153,0.37735,0.90617,0.99528,0.99189,0.99473,0.78344,0.93536,0.3242,0.89191,0.00307,0.00307,0.00307
142,10542.3,0.91823,0.37769,0.90784,0.99528,0.99194,0.99473,0.78354,0.93539,0.32405,0.89189,0.0030205,0.0030205,0.0030205
143,10615.8,0.92204,0.37776,0.90748,0.99528,0.99189,0.99473,0.78357,0.9353,0.32408,0.89188,0.002971,0.002971,0.002971
144,10688,0.91761,0.37707,0.90509,0.99528,0.99174,0.99473,0.78381,0.93497,0.32401,0.89185,0.0029215,0.0029215,0.0029215
145,10761.2,0.91526,0.37347,0.90653,0.99528,0.99179,0.99473,0.78357,0.93493,0.32403,0.8919,0.002872,0.002872,0.002872
146,10833.8,0.91703,0.37336,0.90629,0.99528,0.99172,0.99473,0.78335,0.93487,0.32387,0.89186,0.0028225,0.0028225,0.0028225
147,10905.3,0.91696,0.3749,0.9056,0.99523,0.99163,0.99473,0.78378,0.93471,0.32384,0.89182,0.002773,0.002773,0.002773
148,10978.9,0.91933,0.37599,0.90422,0.99527,0.99166,0.99474,0.78381,0.93477,0.3238,0.89187,0.0027235,0.0027235,0.0027235
149,11052.3,0.91074,0.37182,0.90373,0.99528,0.99175,0.99474,0.78417,0.93466,0.32385,0.8919,0.002674,0.002674,0.002674
150,11123.2,0.9161,0.37299,0.90476,0.99528,0.99179,0.99474,0.78395,0.93464,0.32394,0.89191,0.0026245,0.0026245,0.0026245
151,11197.3,0.91563,0.37316,0.90479,0.99528,0.99178,0.99474,0.78434,0.93495,0.32392,0.89194,0.002575,0.002575,0.002575
152,11270.9,0.91585,0.37205,0.90312,0.99528,0.99179,0.99475,0.78424,0.93486,0.32384,0.89193,0.0025255,0.0025255,0.0025255
153,11342.3,0.91091,0.36919,0.90202,0.99528,0.9917,0.99475,0.78437,0.93464,0.32387,0.89191,0.002476,0.002476,0.002476
